X,CH1,
Second,Volt,
9.10000e-06,-2.40e-03,
9.20000e-06,-2.40e-03,
9.30000e-06,1.84e-03,
9.40000e-06,1.68e-03,
9.50000e-06,-2.48e-03,
9.60000e-06,-2.80e-03,
9.70000e-06,1.68e-03,
9.80000e-06,-2.08e-03,
9.90000e-06,2.16e-03,
1.00000e-05,2.16e-03,
1.01000e-05,-1.76e-03,
1.02000e-05,2.00e-03,
1.03000e-05,-2.24e-03,
1.04000e-05,1.60e-03,
1.05000e-05,-2.72e-03,
1.06000e-05,1.44e-03,
1.07000e-05,-2.72e-03,
1.08000e-05,1.84e-03,
1.09000e-05,-2.48e-03,
1.10000e-05,-2.08e-03,
1.11000e-05,2.16e-03,
1.12000e-05,3.12e-03,
1.13000e-05,-9.60e-04,
1.14000e-05,2.08e-03,
1.15000e-05,-2.56e-03,
1.16000e-05,-2.48e-03,
1.17000e-05,2.00e-03,
1.18000e-05,-1.92e-03,
1.19000e-05,1.36e-03,
1.20000e-05,2.00e-03,
1.21000e-05,-2.40e-03,
1.22000e-05,1.84e-03,
1.23000e-05,-2.08e-03,
1.24000e-05,-1.52e-03,
1.25000e-05,1.84e-03,
1.26000e-05,2.16e-03,
1.27000e-05,-2.32e-03,
1.28000e-05,-2.40e-03,
1.29000e-05,1.68e-03,
1.30000e-05,-1.76e-03,
1.31000e-05,7.20e-04,
1.32000e-05,-8.00e-05,
1.33000e-05,6.40e-04,
1.34000e-05,-1.60e-04,
1.35000e-05,8.00e-04,
1.36000e-05,7.20e-04,
1.37000e-05,-2.40e-04,
1.38000e-05,-4.00e-04,
1.39000e-05,4.00e-04,
1.40000e-05,-1.68e-03,
1.41000e-05,1.04e-03,
1.42000e-05,-2.56e-03,
1.43000e-05,1.76e-03,
1.44000e-05,-2.56e-03,
1.45000e-05,2.08e-03,
1.46000e-05,-1.44e-03,
1.47000e-05,1.76e-03,
1.48000e-05,1.52e-03,
1.49000e-05,-2.56e-03,
1.50000e-05,-2.40e-03,
1.51000e-05,2.00e-03,
1.52000e-05,-2.00e-03,
1.53000e-05,1.84e-03,
1.54000e-05,-2.24e-03,
1.55000e-05,2.16e-03,
1.56000e-05,-2.40e-03,
1.57000e-05,2.00e-03,
1.58000e-05,1.84e-03,
1.59000e-05,-1.76e-03,
1.60000e-05,-2.72e-03,
1.61000e-05,2.16e-03,
1.62000e-05,-3.44e-03,
1.63000e-05,1.52e-03,
1.64000e-05,-2.72e-03,
1.65000e-05,2.00e-03,
1.66000e-05,-2.16e-03,
1.67000e-05,2.16e-03,
1.68000e-05,-2.24e-03,
1.69000e-05,2.08e-03,
1.70000e-05,-1.92e-03,
1.71000e-05,2.32e-03,
1.72000e-05,-2.32e-03,
1.73000e-05,2.16e-03,
1.74000e-05,-2.24e-03,
1.75000e-05,2.32e-03,
1.76000e-05,-2.48e-03,
1.77000e-05,1.84e-03,
1.78000e-05,-2.56e-03,
1.79000e-05,2.16e-03,
1.80000e-05,-2.08e-03,
1.81000e-05,2.08e-03,
1.82000e-05,-2.40e-03,
1.83000e-05,2.08e-03,
1.84000e-05,-2.24e-03,
1.85000e-05,2.08e-03,
1.86000e-05,-2.08e-03,
1.87000e-05,1.84e-03,
1.88000e-05,-2.24e-03,
1.89000e-05,2.00e-03,
1.90000e-05,1.84e-03,
1.91000e-05,-2.48e-03,
1.92000e-05,-2.00e-03,
1.93000e-05,2.00e-03,
1.94000e-05,-2.40e-03,
1.95000e-05,2.08e-03,
1.96000e-05,1.76e-03,
1.97000e-05,-2.32e-03,
1.98000e-05,-2.48e-03,
1.99000e-05,2.08e-03,
2.00000e-05,-2.40e-03,
2.01000e-05,2.16e-03,
2.02000e-05,2.08e-03,
2.03000e-05,-2.40e-03,
2.04000e-05,-2.48e-03,
2.05000e-05,2.00e-03,
2.06000e-05,-2.16e-03,
2.07000e-05,1.84e-03,
2.08000e-05,2.16e-03,
2.09000e-05,-2.16e-03,
2.10000e-05,-2.40e-03,
2.11000e-05,1.84e-03,
2.12000e-05,-2.40e-03,
2.13000e-05,2.00e-03,
2.14000e-05,2.00e-03,
2.15000e-05,-2.24e-03,
2.16000e-05,-2.08e-03,
2.17000e-05,2.08e-03,
2.18000e-05,-2.08e-03,
2.19000e-05,1.84e-03,
