X,CH1,
Second,Volt,
1.03000e-05,-7.80e-02,
1.04000e-05,-7.59e-02,
1.05000e-05,7.59e-02,
1.06000e-05,7.59e-02,
1.07000e-05,-7.80e-02,
1.08000e-05,-7.80e-02,
1.09000e-05,7.40e-02,
1.10000e-05,7.99e-02,
1.11000e-05,-5.80e-02,
1.12000e-05,6.00e-02,
1.13000e-05,-7.80e-02,
1.14000e-05,-7.59e-02,
1.15000e-05,6.80e-02,
1.16000e-05,-6.59e-02,
1.17000e-05,7.59e-02,
1.18000e-05,-5.00e-02,
1.19000e-05,7.99e-02,
1.20000e-05,-4.60e-02,
1.21000e-05,7.99e-02,
1.22000e-05,-5.00e-02,
1.23000e-05,7.80e-02,
1.24000e-05,7.59e-02,
1.25000e-05,-4.60e-02,
1.26000e-05,-4.60e-02,
1.27000e-05,7.99e-02,
1.28000e-05,7.59e-02,
1.29000e-05,-6.00e-02,
1.30000e-05,6.80e-02,
1.31000e-05,-7.80e-02,
1.32000e-05,-7.80e-02,
1.33000e-05,5.60e-02,
1.34000e-05,-6.59e-02,
1.35000e-05,7.99e-02,
1.36000e-05,7.59e-02,
1.37000e-05,-7.00e-02,
1.38000e-05,-7.80e-02,
1.39000e-05,6.80e-02,
1.40000e-05,7.99e-02,
1.41000e-05,-7.00e-02,
1.42000e-05,-7.59e-02,
1.43000e-05,6.59e-02,
1.44000e-05,7.99e-02,
1.45000e-05,-7.40e-02,
1.46000e-05,-7.59e-02,
1.47000e-05,7.99e-02,
1.48000e-05,6.80e-02,
1.49000e-05,-7.59e-02,
1.50000e-05,7.59e-02,
1.51000e-05,-7.00e-02,
1.52000e-05,-7.59e-02,
1.53000e-05,7.59e-02,
1.54000e-05,-7.59e-02,
1.55000e-05,7.59e-02,
1.56000e-05,-7.80e-02,
1.57000e-05,7.59e-02,
1.58000e-05,-7.80e-02,
1.59000e-05,7.59e-02,
1.60000e-05,-7.59e-02,
1.61000e-05,7.59e-02,
1.62000e-05,-7.80e-02,
1.63000e-05,7.59e-02,
1.64000e-05,-7.80e-02,
1.65000e-05,7.59e-02,
1.66000e-05,-7.40e-02,
1.67000e-05,7.59e-02,
1.68000e-05,-7.59e-02,
1.69000e-05,7.40e-02,
1.70000e-05,-7.00e-02,
1.71000e-05,7.80e-02,
1.72000e-05,-7.59e-02,
1.73000e-05,7.59e-02,
1.74000e-05,7.59e-02,
1.75000e-05,-7.59e-02,
